Cliente_ID,Edad,Genero,Ciudad,Plan,Meses_Cliente,Consumo_GB,Llamadas_Min,Pago_Mensual,Reclamos,Soporte_Contactos,Metodo_Pago,Abandono
1,56.0,Femenino ,Cuenca,Estándar,21,42.61,819,60.44,0,1,Transferencia,No
2,55.0,Femenino,Ambato,Básico,42,16.58,881,30.11,0,2,Tarjeta,No
3,20.0,MAsculino,Cuenca,Premium,18,128.26,255,82.12,4,2,Tarjeta,No
4,53.0,Masculino,Loja,Básico,54,32.19,345,27.77,1,6,Tarjeta,Sí
5,33.0,Masculino,Quito,Estándar,25,62.85,697,78.41,1,1,Efectivo,Sí
6,28.0,FEmenino,Ambato,Básico,59,25.42,979,34.65,0,1,Tarjeta,No
7,65.0,MASCULINO,Guayaquil,Básico,44,29.87,941,36.06,3,4,Tarjeta,Sí
8,68.0,Masculino,Cuenca,Básico,32,28.34,1159,22.91,1,2,Transferencia,No
9,59.0,Masculino,Loja,Premium,28,96.58,682,103.73,0,2,Tarjeta,Sí
10,58.0,Femenino,Quito,Básico,37,10.0,1186,30.64,1,1,Transferencia,Sí
11,66.0,Femenino,Ambato,Básico,3,11.56,904,34.09,1,0,Tarjeta,No
12,49.0,Masculino,Loja,Premium,44,81.57,329,81.38,2,0,Tarjeta,No
13,69.0,Masculino,Ambato,Premium,16,82.21,452,108.27,2,0,Transferencia,No
14,20.0,Femenino,Guayaquil,Premium,41,84.6,312,79.2,3,1,Transferencia,No
15,65.0,Femenino,Cuenca,Estándar,48,52.22,153,38.93,3,4,Transferencia,No
16,52.0,Femenino,Cuenca,Básico,2,11.25,450,25.07,2,2,Tarjeta,No
17,65.0,Femenino,CUENCA,Básico,46,13.83,596,23.15,4,3,Tarjeta,Sí
18,34.0,Masculino,Quito,Premium,6,85.14,177,63.25,1,5,Transferencia,No
19,42.0,Masculino,Manta,Básico,27,31.12,808,24.26,1,1,Transferencia,No
20,52.0,Masculino,Loja,Básico,7,21.56,100,26.34,3,3,Tarjeta,Sí
21,39.0,Femenino,Loja,Estándar,37,63.07,96,50.28,2,1,Efectivo,Sí
22,57.0,Femenino,Manta,Estándar,30,55.3,840,55.15,0,2,Efectivo,No
23,26.0,Femenino,Cuenca,Estándar,54,45.88,1046,39.51,2,4,Transferencia,Sí
24,46.0,Femenino,Guayaquil,Básico,12,26.2,1173,32.22,0,3,Transferencia,No
25,69.0,Masculino,Manta,BÁSICO,1,38.78,1116,30.29,3,6,Tarjeta,Sí
26,30.0,Masculino,Ambato,Básico,50,19.11,875,27.91,1,2,Tarjeta,No
27,67.0,Femenino,Loja,Estándar,21,56.98,86,58.62,3,2,Tarjeta,Sí
28,30.0,Femenino,Quito,Estándar,49,33.9,504,48.73,2,2,Transferencia,No
29,48.0,Femenino,Quito,Premium,53,111.3,1112,118.68,0,2,Tarjeta,No
30,59.0,Masculino,Loja,Premium,11,123.51,219,94.87,0,1,Tarjeta,No
31,67.0,Femenino,Cuenca,Premium,38,66.48,763,90.67,2,5,Transferencia,No
32,36.0,Masculino,Quito,Básico,28,19.96,983,28.49,4,2,Tarjeta,Sí
